CustomerId,Recency,Frequency,Monetary,cluster,is_high_risk
CustomerId_1,84,1.0,0.0,2,1
CustomerId_10,84,1.0,0.0,2,1
CustomerId_1001,89,5.0,25200.0,2,1
CustomerId_1002,26,11.0,4500.0,2,1
CustomerId_1004,53,1.0,2000.0,2,1
CustomerId_1005,47,9.0,55000.0,2,1
CustomerId_1006,64,1.0,1000.0,2,1
CustomerId_1007,81,1.0,28000.0,2,1
CustomerId_1008,66,2.0,20000.0,2,1
CustomerId_1009,27,1.0,500.0,2,1
CustomerId_1010,42,7.0,28000.0,2,1
CustomerId_1012,17,64.0,104900.0,0,0
CustomerId_1014,50,8.0,763880.0,2,1
CustomerId_1020,26,203.0,295400.0,1,0
CustomerId_1021,78,1.0,5000.0,2,1
CustomerId_1022,35,1.0,7000.0,2,1
CustomerId_1025,17,9.0,3000.0,2,1
CustomerId_1027,23,1.0,10000.0,2,1
CustomerId_1028,25,1.0,500.0,2,1
CustomerId_1029,71,8.0,56500.0,2,1
CustomerId_1030,30,8.0,3500.0,2,1
CustomerId_1031,16,49.0,122500.0,0,0
CustomerId_1032,33,2.0,2000.0,2,1
CustomerId_1033,66,2.0,1000.0,2,1
CustomerId_1034,60,13.0,48100.0,2,1
CustomerId_1036,90,3.0,1000.0,2,1
CustomerId_1039,66,18.0,109700.0,2,1
CustomerId_1040,37,1.0,50000.0,2,1
CustomerId_1043,47,6.0,25000.0,2,1
CustomerId_1044,48,16.0,22683.0,2,1
CustomerId_1048,42,1.0,1000.0,2,1
CustomerId_1050,54,1.0,5000.0,2,1
CustomerId_1052,23,7.0,58000.0,2,1
CustomerId_1053,89,7.0,13800.0,2,1
CustomerId_1054,37,43.0,99500.0,0,0
CustomerId_1055,82,5.0,6000.0,2,1
CustomerId_1056,55,4.0,5500.0,2,1
CustomerId_1057,90,2.0,5000.0,2,1
CustomerId_1058,32,25.0,11800.0,2,1
CustomerId_1059,19,5.0,26000.0,2,1
CustomerId_1064,20,30.0,136295.0,2,1
CustomerId_1068,53,1.0,500.0,2,1
CustomerId_1070,26,1.0,5000.0,2,1
CustomerId_1071,36,1.0,2000.0,2,1
CustomerId_1073,72,1.0,1000.0,2,1
CustomerId_1074,19,35.0,138100.0,0,0
CustomerId_1078,47,6.0,30000.0,2,1
CustomerId_1079,45,1.0,20000.0,2,1
CustomerId_1080,30,1.0,5000.0,2,1
CustomerId_1081,33,1.0,1000.0,2,1
CustomerId_1082,47,5.0,25000.0,2,1
CustomerId_1083,32,1.0,500.0,2,1
CustomerId_1084,71,1.0,10000.0,2,1
CustomerId_1085,58,4.0,4000.0,2,1
CustomerId_1086,16,1.0,500.0,2,1
CustomerId_1087,33,9.0,51000.0,2,1
CustomerId_1089,37,152.0,172690.0,1,0
CustomerId_1091,25,2.0,3000.0,2,1
CustomerId_1092,19,16.0,81000.0,2,1
CustomerId_1093,33,55.0,61980.0,0,0
CustomerId_1094,25,7.0,38500.0,2,1
CustomerId_1095,17,9.0,4000.0,2,1
CustomerId_1096,16,242.42000000000007,1492700.0,1,0
CustomerId_1099,24,9.0,7200.0,2,1
CustomerId_11,84,1.0,0.0,2,1
CustomerId_1101,52,9.0,60000.0,2,1
CustomerId_1102,19,5.0,25000.0,2,1
CustomerId_1103,48,1.0,30000.0,2,1
CustomerId_1105,27,1.0,500.0,2,1
CustomerId_1106,87,1.0,10000.0,2,1
CustomerId_1108,18,6.0,31000.0,2,1
CustomerId_1109,47,8.0,46000.0,2,1
CustomerId_1111,69,3.0,1000.0,2,1
CustomerId_1113,65,23.0,36000.0,2,1
CustomerId_1114,16,44.0,43700.0,0,0
CustomerId_1116,23,6.0,3000.0,2,1
CustomerId_1117,73,1.0,4000.0,2,1
CustomerId_1118,18,11.0,61000.0,2,1
CustomerId_1119,26,7.0,5500.0,2,1
CustomerId_1120,62,2.0,2000.0,2,1
CustomerId_1121,16,7.0,13439.0,2,1
CustomerId_1122,64,1.0,1850000.0,2,1
CustomerId_1123,46,1.0,1000.0,2,1
CustomerId_1124,33,6.0,30000.0,2,1
CustomerId_1125,31,1.0,5000.0,2,1
CustomerId_1127,19,24.0,64200.0,2,1
CustomerId_1129,74,2.0,1000.0,2,1
CustomerId_1130,78,4.0,5000.0,2,1
CustomerId_1131,32,9.0,13000.0,2,1
CustomerId_1134,80,7.0,2500.0,2,1
CustomerId_1135,24,14.0,73000.0,2,1
CustomerId_1137,54,20.0,120700.0,2,1
CustomerId_1140,45,3.0,5000.0,2,1
CustomerId_1141,25,46.0,179900.0,0,0
CustomerId_1145,39,4.0,9500.0,2,1
CustomerId_1146,47,6.0,30000.0,2,1
CustomerId_1147,19,14.0,71000.0,2,1
CustomerId_1150,74,2.0,2000.0,2,1
CustomerId_1153,58,1.0,3000.0,2,1
CustomerId_1154,75,2.0,1500.0,2,1
CustomerId_1156,19,242.42000000000007,1452847.0,1,0
CustomerId_1158,89,8.0,40700.0,2,1
CustomerId_1160,18,6.0,31000.0,2,1
CustomerId_1161,25,1.0,2500.0,2,1
CustomerId_1163,18,6.0,31000.0,2,1
CustomerId_1164,68,6.0,30000.0,2,1
CustomerId_1165,35,5.0,60000.0,2,1
CustomerId_1170,68,16.0,71400.0,2,1
CustomerId_1171,44,6.0,5500.0,2,1
CustomerId_1172,16,78.0,207900.0,0,0
CustomerId_1174,90,1.0,1000.0,2,1
CustomerId_1175,16,80.0,2002604.0000000005,0,0
CustomerId_1179,21,3.0,2000.0,2,1
CustomerId_1180,19,58.0,68480.0,0,0
CustomerId_1183,20,18.0,55420.0,2,1
CustomerId_1184,74,1.0,1000.0,2,1
CustomerId_1186,77,4.0,7000.0,2,1
CustomerId_1187,54,7.0,50000.0,2,1
CustomerId_1189,37,2.0,3000.0,2,1
CustomerId_1190,33,13.0,76000.0,2,1
CustomerId_1192,16,17.0,21600.0,2,1
CustomerId_1193,54,4.0,15000.0,2,1
CustomerId_1194,54,4.0,15000.0,2,1
CustomerId_1195,54,6.0,25000.0,2,1
CustomerId_1196,47,6.0,25500.0,2,1
CustomerId_1197,54,4.0,15000.0,2,1
CustomerId_1198,54,4.0,15000.0,2,1
CustomerId_12,84,1.0,0.0,2,1
CustomerId_1200,47,4.0,15000.0,2,1
CustomerId_1201,16,162.0,571602.0,1,0
CustomerId_1202,18,15.0,101000.0,2,1
CustomerId_1203,24,34.0,34400.0,2,1
CustomerId_1204,47,4.0,15000.0,2,1
CustomerId_1208,85,9.0,20000.0,2,1
CustomerId_1209,19,6.0,36000.0,2,1
CustomerId_1210,77,3.0,37000.0,2,1
CustomerId_1211,84,2.0,200000.0,2,1
CustomerId_1212,50,17.0,41000.0,2,1
CustomerId_1214,17,35.0,100000.0,0,0
CustomerId_1215,74,1.0,1000.0,2,1
CustomerId_1217,47,9.0,40500.0,2,1
CustomerId_1218,30,39.0,41000.0,0,0
CustomerId_1219,26,6.0,4000.0,2,1
CustomerId_1220,19,13.0,51000.0,2,1
CustomerId_1222,23,37.0,77555.0,0,0
CustomerId_1223,68,1.0,1000.0,2,1
CustomerId_1226,43,8.0,12000.0,2,1
CustomerId_1227,20,23.0,75830.0,2,1
CustomerId_1229,16,3.0,1000.0,2,1
CustomerId_1231,36,1.0,2000.0,2,1
CustomerId_1233,28,1.0,1000.0,2,1
CustomerId_1234,54,12.0,60700.0,2,1
CustomerId_1235,47,6.0,25000.0,2,1
CustomerId_1236,44,8.0,10000.0,2,1
CustomerId_1237,28,1.0,1000.0,2,1
CustomerId_1240,45,6.0,40000.0,2,1
CustomerId_1241,26,7.0,36000.0,2,1
CustomerId_1242,19,138.0,916100.0,1,0
CustomerId_1244,87,1.0,5000.0,2,1
CustomerId_1245,26,18.0,101000.0,2,1
CustomerId_1246,26,19.0,100000.0,2,1
CustomerId_1247,18,6.0,41000.0,2,1
CustomerId_1250,17,242.0,577600.0,1,0
CustomerId_1252,19,15.0,76000.0,2,1
